#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
              284	4.9127576905e-04	3.9961588768e-01	5.9989283655e-01
              285	4.9090001417e-04	3.9961618147e-01	5.9989291851e-01
              286	4.9052537355e-04	3.9961647439e-01	5.9989300024e-01
              287	4.9015183796e-04	3.9961676645e-01	5.9989308172e-01
              288	4.8977940464e-04	3.9961705764e-01	5.9989316296e-01
              289	4.8940806322e-04	3.9961734798e-01	5.9989324396e-01
              290	4.8903780068e-04	3.9961763748e-01	5.9989332472e-01
              291	4.8866861189e-04	3.9961792613e-01	5.9989340526e-01
              292	4.8830049211e-04	3.9961821395e-01	5.9989348555e-01
              293	4.8793343886e-04	3.9961850094e-01	5.9989356562e-01
              294	4.8756743551e-04	3.9961878711e-01	5.9989364546e-01
              295	4.8720248155e-04	3.9961907245e-01	5.9989372507e-01
              296	4.8683856593e-04	3.9961935699e-01	5.9989380445e-01
              297	4.8647568475e-04	3.9961964071e-01	5.9989388360e-01
              298	4.8611382554e-04	3.9961992364e-01	5.9989396254e-01
              299	4.8575298373e-04	3.9962020577e-01	5.9989404125e-01
              300	4.8539314891e-04	3.9962048711e-01	5.9989411974e-01
              301	4.8503432363e-04	3.9962076767e-01	5.9989419801e-01
              302	4.8467649399e-04	3.9962104744e-01	5.9989427606e-01
              303	4.8431966013e-04	3.9962132644e-01	5.9989435390e-01
              304	4.8396380496e-04	3.9962160467e-01	5.9989443153e-01
              305	4.8360893071e-04	3.9962188213e-01	5.9989450893e-01
              306	4.8325502590e-04	3.9962215884e-01	5.9989458613e-01
              307	4.8290208451e-04	3.9962243479e-01	5.9989466312e-01
              308	4.8255010183e-04	3.9962271000e-01	5.9989473990e-01
              309	4.8219907319e-04	3.9962298446e-01	5.9989481647e-01
              310	4.8184898875e-04	3.9962325818e-01	5.9989489284e-01
              311	4.8149984231e-04	3.9962353116e-01	5.9989496900e-01
              312	4.8115163075e-04	3.9962380342e-01	5.9989504495e-01
              313	4.8080434647e-04	3.9962407495e-01	5.9989512071e-01
              314	4.8045798448e-04	3.9962434576e-01	5.9989519626e-01
              315	4.8011253379e-04	3.9962461585e-01	5.9989527161e-01
              316	4.7976799245e-04	3.9962488524e-01	5.9989534677e-01
              317	4.7942435852e-04	3.9962515392e-01	5.9989542173e-01
              318	4.7908162326e-04	3.9962542189e-01	5.9989549649e-01
              319	4.7873978283e-04	3.9962568916e-01	5.9989557105e-01
              320	4.7839883187e-04	3.9962595574e-01	5.9989564543e-01
              321	4.7805875471e-04	3.9962622164e-01	5.9989571961e-01
              322	4.7771955207e-04	3.9962648685e-01	5.9989579360e-01
              323	4.7738122217e-04	3.9962675138e-01	5.9989586740e-01
              324	4.7704375920e-04	3.9962701523e-01	5.9989594101e-01
              325	4.7670715569e-04	3.9962727841e-01	5.9989601443e-01
              326	4.7637140896e-04	3.9962754092e-01	5.9989608767e-01
              327	4.7603650949e-04	3.9962780277e-01	5.9989616072e-01
              328	4.7570245147e-04	3.9962806396e-01	5.9989623359e-01
              329	4.7536923365e-04	3.9962832449e-01	5.9989630628e-01
              330	4.7503684798e-04	3.9962858437e-01	5.9989637878e-01
              331	4.7470529540e-04	3.9962884360e-01	5.9989645110e-01
              332	4.7437456546e-04	3.9962910219e-01	5.9989652325e-01
              333	4.7404465184e-04	3.9962936014e-01	5.9989659521e-01
              334	4.7371555265e-04	3.9962961745e-01	5.9989666700e-01
              335	4.7338726076e-04	3.9962987413e-01	5.9989673861e-01
              336	4.7305977400e-04	3.9963013018e-01	5.9989681005e-01
              337	4.7273308961e-04	3.9963038560e-01	5.9989688131e-01
              338	4.7240719907e-04	3.9963064041e-01	5.9989695239e-01
              339	4.7208209711e-04	3.9963089459e-01	5.9989702331e-01
              340	4.7175778426e-04	3.9963114816e-01	5.9989709405e-01
              341	4.7143425032e-04	3.9963140112e-01	5.9989716463e-01
              342	4.7111149453e-04	3.9963165348e-01	5.9989723503e-01
              343	4.7078950895e-04	3.9963190523e-01	5.9989730526e-01
              344	4.7046829159e-04	3.9963215638e-01	5.9989737533e-01
              345	4.7014783525e-04	3.9963240693e-01	5.9989744523e-01
              346	4.6982814034e-04	3.9963265689e-01	5.9989751497e-01
              347	4.6950920125e-04	3.9963290626e-01	5.9989758454e-01
              348	4.6919101150e-04	3.9963315504e-01	5.9989765395e-01
              349	4.6887356976e-04	3.9963340324e-01	5.9989772319e-01
              350	4.6855686649e-04	3.9963365086e-01	5.9989779228e-01
              351	4.6824090231e-04	3.9963389790e-01	5.9989786120e-01
              352	4.6792566987e-04	3.9963414437e-01	5.9989792996e-01
              353	4.6761116714e-04	3.9963439027e-01	5.9989799856e-01
              354	4.6729739007e-04	3.9963463560e-01	5.9989806701e-01
              355	4.6698433825e-04	3.9963488037e-01	5.9989813529e-01
              356	4.6667199957e-04	3.9963512457e-01	5.9989820343e-01
              357	4.6636037606e-04	3.9963536822e-01	5.9989827140e-01
              358	4.6604946297e-04	3.9963561132e-01	5.9989833922e-01
              359	4.6573925547e-04	3.9963585386e-01	5.9989840689e-01
              360	4.6542975036e-04	3.9963609585e-01	5.9989847440e-01
              361	4.6512094002e-04	3.9963633730e-01	5.9989854176e-01
              362	4.6481282479e-04	3.9963657820e-01	5.9989860897e-01
              363	4.6450540109e-04	3.9963681857e-01	5.9989867603e-01
              364	4.6419866277e-04	3.9963705840e-01	5.9989874294e-01
              365	4.6389261180e-04	3.9963729769e-01	5.9989880970e-01
              366	4.6358723837e-04	3.9963753645e-01	5.9989887631e-01
              367	4.6328254239e-04	3.9963777468e-01	5.9989894278e-01
              368	4.6297852000e-04	3.9963801239e-01	5.9989900909e-01
              369	4.6267516491e-04	3.9963824957e-01	5.9989907526e-01
              370	4.6237247775e-04	3.9963848623e-01	5.9989914129e-01
              371	4.6207044881e-04	3.9963872238e-01	5.9989920717e-01
              372	4.6176908192e-04	3.9963895801e-01	5.9989927291e-01
              373	4.6146836825e-04	3.9963919313e-01	5.9989933851e-01
              374	4.6116830700e-04	3.9963942773e-01	5.9989940396e-01
              375	4.6086889559e-04	3.9963966183e-01	5.9989946927e-01
              376	4.6057012804e-04	3.9963989543e-01	5.9989953444e-01
              377	4.6027200201e-04	3.9964012853e-01	5.9989959947e-01
              378	4.5997451497e-04	3.9964036112e-01	5.9989966436e-01
              379	4.5967766203e-04	3.9964059322e-01	5.9989972912e-01
              380	4.5938144148e-04	3.9964082483e-01	5.9989979373e-01
              381	4.5908584771e-04	3.9964105594e-01	5.9989985821e-01
              382	4.5879087852e-04	3.9964128657e-01	5.9989992255e-01
              383	4.5849653238e-04	3.9964151671e-01	5.9989998676e-01
              384	4.5820280669e-04	3.9964174636e-01	5.9990005083e-01
              385	4.5790969960e-04	3.9964197553e-01	5.9990011477e-01
              386	4.5761720376e-04	3.9964220423e-01	5.9990017857e-01
              387	4.5732531744e-04	3.9964243244e-01	5.9990024224e-01
              388	4.5703403876e-04	3.9964266019e-01	5.9990030578e-01
              389	4.5674336519e-04	3.9964288745e-01	5.9990036918e-01
              390	4.5645329351e-04	3.9964311425e-01	5.9990043245e-01
              391	4.5616382225e-04	3.9964334058e-01	5.9990049560e-01
              392	4.5587494436e-04	3.9964356644e-01	5.9990055861e-01
              393	4.5558665985e-04	3.9964379184e-01	5.9990062150e-01
              394	4.5529896651e-04	3.9964401678e-01	5.9990068425e-01
              395	4.5501186114e-04	3.9964424126e-01	5.9990074688e-01
              396	4.5472533312e-04	3.9964446529e-01	5.9990080938e-01
              397	4.5443938469e-04	3.9964468886e-01	5.9990087175e-01
              398	4.5415401861e-04	3.9964491198e-01	5.9990093400e-01
              399	4.5386922870e-04	3.9964513465e-01	5.9990099612e-01
              400	4.5358501001e-04	3.9964535687e-01	5.9990105812e-01
              401	4.5330136240e-04	3.9964557864e-01	5.9990111999e-01
              402	4.5301828251e-04	3.9964579998e-01	5.9990118174e-01
              403	4.5273576942e-04	3.9964602086e-01	5.9990124337e-01
              404	4.5245381581e-04	3.9964624131e-01	5.9990130487e-01
              405	4.5217242150e-04	3.9964646133e-01	5.9990136625e-01
              406	4.5189158211e-04	3.9964668091e-01	5.9990142751e-01
              407	4.5161130241e-04	3.9964690005e-01	5.9990148865e-01
              408	4.5133157509e-04	3.9964711876e-01	5.9990154967e-01
              409	4.5105239210e-04	3.9964733704e-01	5.9990161057e-01
              410	4.5077375718e-04	3.9964755490e-01	5.9990167134e-01
              411	4.5049566537e-04	3.9964777233e-01	5.9990173201e-01
