#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
9130 0.000175181592045092 1.73077944251084e-05 3.25375219729046e-06 0.000118801928871332 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9140 0.000175182681563939 1.73077944251084e-05 3.25375219729046e-06 0.000118802129605728 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9150 0.000175183794701999 1.73077944251084e-05 3.25375219729046e-06 0.000118802334932299 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9160 0.000175184970109501 1.73077944251084e-05 3.25375219729046e-06 0.000118802552345923 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9170 0.000175186035161699 1.73077944251084e-05 3.25375219729046e-06 0.000118802748395495 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9180 0.000175187036704916 1.73077944251084e-05 3.25375219729046e-06 0.000118802932164372 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9190 0.0001751881135965 1.73077944251084e-05 3.25375219729046e-06 0.000118803130552344 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9200 0.000175189183792783 1.73077944251084e-05 3.25375219729046e-06 0.000118803327657243 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9210 0.000175190290331146 1.73077944251084e-05 3.25375219729046e-06 0.000118803531825602 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9220 0.000175191358365223 1.73077944251084e-05 3.25375219729046e-06 0.000118803728551036 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9230 0.000175192443102154 1.73077944251084e-05 3.25375219729046e-06 0.000118803928533832 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9240 0.00017519354300238 1.73077944251084e-05 3.25375219729046e-06 0.000118804131471897 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9250 0.000175194588884869 1.73077944251084e-05 3.25375219729046e-06 0.000118804323961795 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9260 0.000175195682853491 1.73077944251084e-05 3.25375219729046e-06 0.000118804525791278 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9270 0.0001751967028812 1.73077944251084e-05 3.25375219729046e-06 0.000118804713309166 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9280 0.00017519769155232 1.73077944251084e-05 3.25375219729046e-06 0.000118804894777355 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9290 0.000175198727346477 1.73077944251084e-05 3.25375219729046e-06 0.000118805085393694 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9300 0.000175199764015213 1.73077944251084e-05 3.25375219729046e-06 0.000118805276194936 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9310 0.000175200857592036 1.73077944251084e-05 3.25375219729046e-06 0.000118805478040457 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9320 0.000175201859583649 1.73077944251084e-05 3.25375219729046e-06 0.000118805662159901 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9330 0.000175202939701158 1.73077944251084e-05 3.25375219729046e-06 0.000118805861433285 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9340 0.000175203995273555 1.73077944251084e-05 3.25375219729046e-06 0.000118806055971936 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9350 0.000175205073378591 1.73077944251084e-05 3.25375219729046e-06 0.000118806254891923 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9360 0.0001752061319132 1.73077944251084e-05 3.25375219729046e-06 0.00011880645003871 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9370 0.000175207237182971 1.73077944251084e-05 3.25375219729046e-06 0.000118806654259723 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9380 0.000175208260306027 1.73077944251084e-05 3.25375219729046e-06 0.00011880684258181 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9390 0.000175209274242061 1.73077944251084e-05 3.25375219729046e-06 0.00011880702914618 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9400 0.000175210356703604 1.73077944251084e-05 3.25375219729046e-06 0.000118807228999839 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9410 0.000175211369238897 1.73077944251084e-05 3.25375219729046e-06 0.000118807415328208 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9420 0.000175212410806623 1.73077944251084e-05 3.25375219729046e-06 0.000118807607298246 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9430 0.00017521338714125 1.73077944251084e-05 3.25375219729046e-06 0.000118807786648922 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9440 0.000175214369009179 1.73077944251084e-05 3.25375219729046e-06 0.000118807967088901 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9450 0.000175215345491127 1.73077944251084e-05 3.25375219729046e-06 0.000118808146508797 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9460 0.00017521639554911 1.73077944251084e-05 3.25375219729046e-06 0.000118808340193118 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9470 0.000175217426131293 1.73077944251084e-05 3.25375219729046e-06 0.000118808530124992 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9480 0.000175218391896561 1.73077944251084e-05 3.25375219729046e-06 0.000118808707518097 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9490 0.000175219494397593 1.73077944251084e-05 3.25375219729046e-06 0.000118808911416659 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9500 0.000175220531886026 1.73077944251084e-05 3.25375219729046e-06 0.000118809102735466 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9510 0.000175221551295982 1.73077944251084e-05 3.25375219729046e-06 0.000118809290567806 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9520 0.000175222552305981 1.73077944251084e-05 3.25375219729046e-06 0.000118809474860147 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9530 0.000175223574127061 1.73077944251084e-05 3.25375219729046e-06 0.000118809663198074 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9540 0.000175224531893925 1.73077944251084e-05 3.25375219729046e-06 0.000118809839145145 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9550 0.000175225596291085 1.73077944251084e-05 3.25375219729046e-06 0.000118810035765957 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9560 0.00017522662124241 1.73077944251084e-05 3.25375219729046e-06 0.000118810224761528 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9570 0.000175227611959405 1.73077944251084e-05 3.25375219729046e-06 0.000118810407141929 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9580 0.000175228603079692 1.73077944251084e-05 3.25375219729046e-06 0.000118810589618017 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9590 0.000175229648921063 1.73077944251084e-05 3.25375219729046e-06 0.00011881078271223 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9600 0.000175230646156322 1.73077944251084e-05 3.25375219729046e-06 0.000118810966406768 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9610 0.000175231596224569 1.73077944251084e-05 3.25375219729046e-06 0.000118811140983769 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
