#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(H2)	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)	weightedVolAverage(H2O)
              187	4.4538698629e-03	6.5327344373e-02	3.0989031303e-01	6.2023778002e-01	9.0692716368e-05
              188	4.4538742650e-03	6.5326918580e-02	3.0989064992e-01	6.2023789630e-01	9.0660929800e-05
              189	4.4538786632e-03	6.5326494787e-02	3.0989098528e-01	6.2023801212e-01	9.0629149305e-05
              190	4.4538830569e-03	6.5326072987e-02	3.0989131910e-01	6.2023812748e-01	9.0597377768e-05
              191	4.4538874461e-03	6.5325653170e-02	3.0989165140e-01	6.2023824237e-01	9.0565617078e-05
              192	4.4538918304e-03	6.5325235330e-02	3.0989198217e-01	6.2023835680e-01	9.0533870425e-05
              193	4.4538962096e-03	6.5324819456e-02	3.0989231143e-01	6.2023847076e-01	9.0502139542e-05
              194	4.4539005833e-03	6.5324405541e-02	3.0989263919e-01	6.2023858426e-01	9.0470427220e-05
              195	4.4539049515e-03	6.5323993573e-02	3.0989296544e-01	6.2023869730e-01	9.0438735038e-05
              196	4.4539093139e-03	6.5323583544e-02	3.0989329020e-01	6.2023880988e-01	9.0407065167e-05
              197	4.4539136702e-03	6.5323175443e-02	3.0989361346e-01	6.2023892200e-01	9.0375419565e-05
              198	4.4539180204e-03	6.5322769258e-02	3.0989393526e-01	6.2023903367e-01	9.0343799269e-05
              199	4.4539223644e-03	6.5322364975e-02	3.0989425558e-01	6.2023914488e-01	9.0312205853e-05
              200	4.4539267019e-03	6.5321962583e-02	3.0989457444e-01	6.2023925563e-01	9.0280640513e-05
              201	4.4539310328e-03	6.5321562072e-02	3.0989489185e-01	6.2023936594e-01	9.0249105194e-05
              202	4.4539353569e-03	6.5321163431e-02	3.0989520782e-01	6.2023947579e-01	9.0217601573e-05
              203	4.4539396743e-03	6.5320766641e-02	3.0989552235e-01	6.2023958520e-01	9.0186129106e-05
              204	4.4539439847e-03	6.5320371696e-02	3.0989583546e-01	6.2023969417e-01	9.0154690319e-05
              205	4.4539482882e-03	6.5319978579e-02	3.0989614716e-01	6.2023980269e-01	9.0123285201e-05
              206	4.4539525847e-03	6.5319587276e-02	3.0989645745e-01	6.2023991078e-01	9.0091914516e-05
              207	4.4539568739e-03	6.5319197779e-02	3.0989676634e-01	6.2024001842e-01	9.0060580123e-05
              208	4.4539611561e-03	6.5318810067e-02	3.0989707386e-01	6.2024012564e-01	9.0029281038e-05
              209	4.4539654310e-03	6.5318424132e-02	3.0989737999e-01	6.2024023242e-01	8.9998019048e-05
              210	4.4539696986e-03	6.5318039956e-02	3.0989768477e-01	6.2024033878e-01	8.9966794476e-05
              211	4.4539739588e-03	6.5317657533e-02	3.0989798819e-01	6.2024044471e-01	8.9935608877e-05
              212	4.4539782117e-03	6.5317276840e-02	3.0989829027e-01	6.2024055022e-01	8.9904460991e-05
              213	4.4539824573e-03	6.5316897867e-02	3.0989859101e-01	6.2024065531e-01	8.9873351940e-05
              214	4.4539866954e-03	6.5316520601e-02	3.0989889044e-01	6.2024075998e-01	8.9842282052e-05
              215	4.4539909262e-03	6.5316145027e-02	3.0989918855e-01	6.2024086424e-01	8.9811252135e-05
              216	4.4539951495e-03	6.5315771131e-02	3.0989948537e-01	6.2024096809e-01	8.9780261931e-05
              217	4.4539993653e-03	6.5315398901e-02	3.0989978089e-01	6.2024107153e-01	8.9749312332e-05
              218	4.4540035736e-03	6.5315028322e-02	3.0990007513e-01	6.2024117457e-01	8.9718403304e-05
              219	4.4540077745e-03	6.5314659381e-02	3.0990036810e-01	6.2024127721e-01	8.9687535422e-05
              220	4.4540119678e-03	6.5314292065e-02	3.0990065981e-01	6.2024137945e-01	8.9656708699e-05
              221	4.4540161537e-03	6.5313926361e-02	3.0990095027e-01	6.2024148129e-01	8.9625923663e-05
              222	4.4540203321e-03	6.5313562251e-02	3.0990123950e-01	6.2024158274e-01	8.9595179277e-05
              223	4.4540245031e-03	6.5313199726e-02	3.0990152750e-01	6.2024168380e-01	8.9564476235e-05
              224	4.4540286667e-03	6.5312838770e-02	3.0990181427e-01	6.2024178448e-01	8.9533814517e-05
              225	4.4540328229e-03	6.5312479372e-02	3.0990209984e-01	6.2024188477e-01	8.9503194888e-05
              226	4.4540369716e-03	6.5312121519e-02	3.0990238421e-01	6.2024198468e-01	8.9472617028e-05
              227	4.4540411129e-03	6.5311765196e-02	3.0990266740e-01	6.2024208421e-01	8.9442080480e-05
              228	4.4540452469e-03	6.5311410393e-02	3.0990294940e-01	6.2024218337e-01	8.9411586160e-05
              229	4.4540493735e-03	6.5311057092e-02	3.0990323024e-01	6.2024228216e-01	8.9381132940e-05
              230	4.4540534928e-03	6.5310705283e-02	3.0990350992e-01	6.2024238058e-01	8.9350721411e-05
              231	4.4540576048e-03	6.5310354955e-02	3.0990378845e-01	6.2024247864e-01	8.9320351623e-05
              232	4.4540617096e-03	6.5310006091e-02	3.0990406584e-01	6.2024257633e-01	8.9290022949e-05
              233	4.4540658072e-03	6.5309658683e-02	3.0990434210e-01	6.2024267367e-01	8.9259736147e-05
              234	4.4540698974e-03	6.5309312717e-02	3.0990461725e-01	6.2024277065e-01	8.9229491050e-05
              235	4.4540739805e-03	6.5308968182e-02	3.0990489128e-01	6.2024286727e-01	8.9199287403e-05
              236	4.4540780564e-03	6.5308625064e-02	3.0990516421e-01	6.2024296354e-01	8.9169124994e-05
              237	4.4540821252e-03	6.5308283351e-02	3.0990543605e-01	6.2024305947e-01	8.9139003716e-05
              238	4.4540861870e-03	6.5307943031e-02	3.0990570681e-01	6.2024315505e-01	8.9108923457e-05
              239	4.4540902416e-03	6.5307604095e-02	3.0990597649e-01	6.2024325029e-01	8.9078884562e-05
              240	4.4540942891e-03	6.5307266528e-02	3.0990624511e-01	6.2024334519e-01	8.9048886751e-05
              241	4.4540983297e-03	6.5306930318e-02	3.0990651267e-01	6.2024343975e-01	8.9018929439e-05
              242	4.4541023633e-03	6.5306595457e-02	3.0990677919e-01	6.2024353398e-01	8.8989013061e-05
              243	4.4541063900e-03	6.5306261932e-02	3.0990704467e-01	6.2024362787e-01	8.8959137538e-05
              244	4.4541104096e-03	6.5305929735e-02	3.0990730911e-01	6.2024372144e-01	8.8929303350e-05
              245	4.4541144224e-03	6.5305598850e-02	3.0990757254e-01	6.2024381468e-01	8.8899508979e-05
              246	4.4541184285e-03	6.5305269265e-02	3.0990783496e-01	6.2024390760e-01	8.8869753955e-05
              247	4.4541224278e-03	6.5304940971e-02	3.0990809637e-01	6.2024400019e-01	8.8840038768e-05
              248	4.4541264203e-03	6.5304613957e-02	3.0990835679e-01	6.2024409247e-01	8.8810363649e-05
              249	4.4541304060e-03	6.5304288218e-02	3.0990861621e-01	6.2024418443e-01	8.8780729227e-05
              250	4.4541343849e-03	6.5303963738e-02	3.0990887466e-01	6.2024427608e-01	8.8751134268e-05
              251	4.4541383573e-03	6.5303640506e-02	3.0990913214e-01	6.2024436742e-01	8.8721578570e-05
              252	4.4541423230e-03	6.5303318513e-02	3.0990938865e-01	6.2024445845e-01	8.8692061973e-05
              253	4.4541462822e-03	6.5302997750e-02	3.0990964421e-01	6.2024454917e-01	8.8662584444e-05
